Names,Source,Location,Assembly Status
Escherichia marmotae_HT073016_1,Wildlife,China,Scaffold
Escherichia marmotae_B116,Human,UK,Contig
Escherichia marmotae_12b_Esco_HA-NL,Human,Western_Europe,Scaffold
Escherichia marmotae_12_Esco_HA-NL,Human,Western_Europe,Scaffold
Escherichia marmotae_HT073016_2,Wildlife,China,Complete
Escherichia marmotae_SC345,Freshwater,USA,Scaffold
Escherichia marmotae_SC344,Freshwater,USA,Scaffold
Escherichia marmotae_SC342,Freshwater,USA,Scaffold
Escherichia marmotae_SC341,Freshwater,USA,Scaffold
Escherichia marmotae_SC337,Freshwater,USA,Scaffold
Escherichia marmotae_SC331,Freshwater,USA,Scaffold
Escherichia marmotae_SC329,Freshwater,USA,Scaffold
Escherichia marmotae_SC326,Freshwater,USA,Scaffold
Escherichia marmotae_SC330,Freshwater,USA,Scaffold
Escherichia marmotae_UMB2500_14,Human,USA,Contig
Escherichia marmotae_E690,Domesticated_Animal,Southern_Europe,Contig
Escherichia marmotae_BS116-C,Human,Western_Europe,Contig
Escherichia marmotae_RHB42-C09,Domesticated_Animal,UK,Complete
Escherichia marmotae_RHB24-C12,Domesticated_Animal,UK,Complete
Escherichia marmotae_RHBSTW-00814,Freshwater,UK,Complete
Escherichia marmotae_RHBSTW-00777,Freshwater,UK,Complete
Escherichia marmotae_RHBSTW-00605,Freshwater,UK,Complete
Escherichia marmotae_RHBSTW-00604,Freshwater,UK,Contig
Escherichia marmotae_RHBSTW-00265,Freshwater,UK,Contig
Escherichia marmotae_RHBSTW-00263,Freshwater,UK,Contig
Escherichia marmotae_EC245,Wildlife,Southern_Europe,Contig
Escherichia marmotae_EC237,Wildlife,Southern_Europe,Contig
Escherichia marmotae_EC115,Wildlife,Southern_Europe,Contig
Escherichia marmotae_1374a,Bird,Australia,Contig
Escherichia marmotae_UoL_22,Domesticated_Animal,UK,Contig
Escherichia marmotae_6_77,Human,Southern_Europe,Contig
Escherichia marmotae_C15-3,Bird,UK,Scaffold
Escherichia marmotae_C6-9,Bird,UK,Scaffold
Escherichia marmotae_C9-9,Bird,UK,Scaffold
Escherichia marmotae_C21-1,Bird,UK,Scaffold
Escherichia marmotae_C14-7,Bird,UK,Scaffold
Escherichia marmotae_C8-5,Bird,UK,Scaffold
Escherichia marmotae_C5-10,Bird,UK,Scaffold
Escherichia marmotae_MVC381,Domesticated_Animal,Australia,Contig
Escherichia marmotae_MVC186,Domesticated_Animal,Australia,Contig
Escherichia marmotae_MVC382,Domesticated_Animal,Australia,Contig
Escherichia marmotae_W49-2,Deer_meat,Eastern_Europe,Complete
Escherichia marmotae_C10TBX1,Bird,Japan,Contig
Escherichia marmotae_Gull1_B2,Bird,USA,Contig
Escherichia marmotae_895B,Human,Western_Europe,Contig
Escherichia marmotae_H1-003-0086-C-F,Human,Western_Europe,Contig
Escherichia marmotae_HUSEmarmC2,Human,Northern_Europe,Contig
Escherichia marmotae_HUSEmarmC3,Human,Northern_Europe,Contig
